Comp No,Comp Name,SIC Code,Inc Date,Last Made Up Date,Cash
6032949,MK FLYERS LIMITED,58190,19/12/2006,19/12/2012,"3,637"
7708088,JOOM TECH LTD,62011,18/07/2011,18/07/2012,
0,,,,,
0,,,,,
7330525,MARKETINVOICE LIMITED,63990,29/07/2010,29/07/2012,"143,210"
8042309,CHRISTOPHER TIERNEY MEDICAL LTD,None,23/04/2012,,
2497784,THE BUSINESS MACHINES COMPANY (UK) LIMITED,82990,01/05/1990,01/05/2012,77
7383165,NOTTINGHAM OFF ROAD EVENTS LTD,93290,21/09/2010,21/09/2012,50
7744970,BLUE SQUARE SAFETY LTD,74909,18/08/2011,18/08/2012,
7482218,ARCHWAY CONSTRUCTION (UK) LIMITED,43220,05/01/2011,05/01/2012,"5,870"
7191254,LPS GAMES LTD,47650,16/03/2010,16/03/2012,"6,040"
5434235,GROWTH (UK) LTD,70229,25/04/2005,25/04/2012,"33,714"
4816995,WEBSTARS LTD,62020,01/07/2003,01/07/2012,"26,214"
5170047,MINT ONLINE MARKETING LTD.,62090,05/07/2004,05/07/2012,"11,196"
7349407,SMART ACCOUNTANCY SYSTEMS LIMITED,69201,18/08/2010,18/08/2012,0
6752487,ASPIRE PLANNING LIMITED,74909,18/11/2008,18/11/2012,"3,549"
0,,,,,
0,,,,,
0,,,,,
7614920,ELITE MEDIA SOLUTIONS LTD,73110,26/04/2011,26/04/2012,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
7500368,IN POCKET DEVELOPMENT LTD,62090,20/01/2011,20/01/2013,"13,006"
0,,,,,
0,,,,,
00IP030874,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
00SC425502,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8053077,MIND OF DESIGN LIMITED,None,01/05/2012,,
4967319,PRINT INGENUITY LIMITED,18129,18/11/2003,18/11/2012,"6,952"
7520457,NEARBY DEALS LIMITED,62011,08/02/2011,08/02/2012,0
8342358,CREATED ONLINE LIMITED,None,28/12/2012,,
0,,,,,
1992531,INTIME FIRE & SECURITY LIMITED,74909,24/02/1986,20/02/2012,"2,060"
00HS Holistic Massage Therapy,,,,,
3883637,THE TECHNICAL SUPPORT DEPARTMENT LIMITED,95110,25/11/1999,25/11/2012,"1,629"
0,,,,,
7795033,TASKRUNNER LTD,62090,03/10/2011,03/10/2012,
0,,,,,
5796017,TEKHOI LIMITED,62020,26/04/2006,26/04/2012,"9,476"
6680782,ECOMMWEB LIMITED,62020,26/08/2008,26/08/2012,478
8135143,GLEEPOST LIMITED,None,09/07/2012,,
0,,,,,
0,,,,,
0,,,,,
8084641,ONLINE YOUTH MANAGER LTD,None,28/05/2012,,
8153128,CRAIG PRESCOTT PLUMBING & HEATING SERVICES LTD,None,23/07/2012,,
0,,,,,
7568949,JUNIOR'S PANTRY LIMITED,10850,17/03/2011,17/03/2012,"1,347"
0,,,,,
7701041,LOYALLI LTD,63120,12/07/2011,12/07/2012,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
124564,,,,,
0,,,,,
4837228,1 MINUS 1 LIMITED,62090,18/07/2003,18/07/2012,"158,989"
0,,,,,
2760393,ROCHDALE TOWN CENTRE MANAGEMENT COMPANY,96090,30/10/1992,30/10/2012,"89,153"
7815147,FOLIO PRINT LIMITED,18129,19/10/2011,19/10/2012,
8314238,PROCUREMENT MEDIA LTD,None,30/11/2012,,
0,,,,,
4838642,J P T SOLUTIONS LIMITED,62020,19/07/2003,19/07/2012,"6,423"
00None,,,,,
0,,,,,
0,,,,,
0,,,,,
8088909,AFFARI MEDIA LTD,None,30/05/2012,,
0,,,,,
6265613,N.S.E.P. COMMUNITY INTEREST COMPANY,94990,01/06/2007,01/06/2012,0
0,,,,,
6678037,PROFESSIONAL TENANT FINDERS LTD,68310,20/08/2008,20/08/2012,"4,214"
3,,,,,
00SC049815,,,,,
7663360,MELOT ACCOUNTING LIMITED,74990,09/06/2011,09/06/2012,0
0,,,,,
0,,,,,
0,,,,,
7890714,IRINIKA MEDIA LIMITED,62012,22/12/2011,22/12/2012,92
0,,,,,
7551920,HALEEMA TRAVEL LIMITED,79110,04/03/2011,04/03/2012,"2,910"
0,,,,,
7791787,QUNUX CONSULTING LTD,62020,29/09/2011,29/09/2012,
4563683,PINK CONNECT LTD,61900,15/10/2002,15/10/2012,"99,677"
0,,,,,
8122317,ROTH MGMT LTD,None,28/06/2012,,
0,,,,,
7481454,NORTHERN RESIN FLOORING LTD,43330,04/01/2011,04/01/2013,3
6581186,HOO BROOK LTD,68310,30/04/2008,30/04/2012,"3,462"
7608774,OOMPH WELLNESS LIMITED,86900,19/04/2011,19/04/2012,
6828737,REGIS-WILLIAMS ASSOCIATES LIMITED,62090,24/02/2009,03/12/2012,809
0,,,,,
0,,,,,
0,,,,,
0,,,,,
5530196,HOGBENS DUNPHY LIMITED,69201,08/08/2005,08/08/2012,"72,295"
8324198,PERFECT CANVASES LTD,None,10/12/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8319852,HEDGEPO LIMITED,None,05/12/2012,,
7529895,NETWORK LOCUM LTD,82990,15/02/2011,15/02/2012,
8099562,NICK HURLEY CREATIVE LTD,None,11/06/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8160229,DPFOC UK LTD,None,27/07/2012,,
0,,,,,
8212366,WINE CONCIERGE CO LIMITED,None,12/09/2012,,
00IP030949,,,,,
0,,,,,
0,,,,,
0,,,,,
00Turner,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
7725166,IQUARA LIMITED,63990,02/08/2011,02/08/2012,
0,,,,,
5384128,DIGITAL GOODS STORE LTD,62090,07/03/2005,07/03/2012,"5,174"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
00SC425013,,,,,
8235060,CLAREMONT HOUSE AND HOME LIMITED,None,01/10/2012,,
0,,,,,
0,,,,,
0,,,,,
6846577,WHITFIELD ELECTRICAL ENGINEERS LIMITED,43210,13/03/2009,12/03/2012,"12,591"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8263148,LIFELIFTERS LIMITED,None,22/10/2012,,
0,,,,,
8327025,SANTAS HAMPERS LIMITED,None,11/12/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8031625,WHITTEN-CONNOLLY LTD.,None,16/04/2012,,
7979668,CROWDMISSION LIMITED,None,07/03/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8044800,TIMEET LIMITED,None,25/04/2012,,
0,,,,,
0,,,,,
0,,,,,
8158861,JUSTSERVE LIMITED,None,27/07/2012,,
8298119,BOURNEMOUTH PUBLISHING LIMITED,None,19/11/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
6983316,BARTON GROWTH & EQUITY LIMITED,62090,06/08/2009,06/08/2012,0
0,,,,,
0,,,,,
0,,,,,
0,,,,,
7347067,DIGNITY PERSONNEL LIMITED,52290,16/08/2010,16/08/2012,"1,333"
7786337,STICKY KIWI LIMITED,73110,26/09/2011,26/09/2012,
0,,,,,
8173088,BACKOFF SOLUTIONS LIMITED,None,09/08/2012,,
0,,,,,
0,,,,,
0,,,,,
00SC426346,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
4665749,AZ*TECH E.COM LIMITED,62020,13/02/2003,13/02/2012,429
0,,,,,
0,,,,,
7422939,ASPURIAN LTD,70229,29/10/2010,29/10/2012,"10,468"
6988086,RENT4SURE LTD,82990,12/08/2009,11/08/2012,"10,162"
4833845,7 RECTORY GROVE PROPERTY MANAGEMENT LTD,98000,16/07/2003,16/07/2012,"3,556"
4928745,THE COACHING WORKS (UK) LIMITED,96090,10/10/2003,10/10/2011,479
7944641,PROLETTS LIMITED,None,10/02/2012,,
0,,,,,
0,,,,,
0,,,,,
7424784,MY MARKETING AID LTD,73110,01/11/2010,01/11/2012,"55,456"
7814998,PROBIZCLIPS LTD,59112,19/10/2011,19/10/2012,
0,,,,,
8294957,TRIVAEO CLOUD SERVICES LIMITED,None,15/11/2012,,
8141604,DEVONSHIRE CREDIT SERVICES LIMITED,None,12/07/2012,,
8037659,SPEECH BUBBLE MARKETING LIMITED,None,19/04/2012,,
6927331,THE FINANCE DEPT LIMITED,69201,08/06/2009,08/06/2012,"1,525"
0,,,,,
7578409,PROTHOS SERVICES LIMITED,81222,25/03/2011,25/03/2012,0
0,,,,,
4906914,MC CLOTHING LIMITED,5242,22/09/2003,22/09/2007,0
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8330014,YOURVPS LIMITED,None,13/12/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
5360014,BPS DESIGNS LIMITED,82990,10/02/2005,10/02/2012,"9,993"
0,,,,,
0,,,,,
0,,,,,
8305129,YAARA UK LTD,None,23/11/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
5569205,CJ CONSULTING EUROPE  LIMITED,82990,20/09/2005,20/09/2012,77
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8226352,BEAUFORT 12 CONSULTING LIMITED,None,24/09/2012,,
8119635,GOSOCL LIMITED,None,26/06/2012,,
0,,,,,
8019321,TOUCH RIGHT SOFTWARE LIMITED,None,04/04/2012,,
0,,,,,
4683692,BLUE SKY PUBLICATIONS LIMITED,58130,03/03/2003,03/03/2012,"51,753"
0,,,,,
7216105,ARUN SECURITY SERVICES LIMITED,96090,08/04/2010,08/04/2012,0
8259622,PC REPAIR SERVICE LTD,None,18/10/2012,,
0,,,,,
0,,,,,
0,,,,,
7975321,GETWISEMARKETING LIMITED,None,05/03/2012,,
0,,,,,
0,,,,,
7523172,MCS DIRECTORY LTD,63990,09/02/2011,09/02/2012,"8,397"
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
7940885,PORTER AND LACE LIMITED,None,08/02/2012,,
"00124 Brookhouse Road,",,,,,
0,,,,,
0,,,,,
5155336,THE UK LEADERSHIP ACADEMY LTD,70229,16/06/2004,16/06/2012,0
7591677,LEAPFROG GROUP G.B. LTD,33130,05/04/2011,05/04/2012,429
0,,,,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
8027590,RAPID ENVIRONMENTAL SERVICES LIMITED,None,12/04/2012,,
0,,,,,
0,,,,,
0,,,,,
0,,,,,
4655885,ARK AURORA LTD,69201,04/02/2003,04/02/2012,"56,501"
0,,,,,
7671339,SIGNATURE NETWORK SOLUTIONS LIMITED,61100,15/06/2011,15/06/2012,
6553217,ISEV LIMITED,62090,02/04/2008,02/04/2012,"75,678"
8070490,PROTOCOL12 LIMITED,None,16/05/2012,,
0,,,,,
7701041,LOYALLI LTD,63120,12/07/2011,12/07/2012,
0,,,,,
6443031,LUNA GOLF LIMITED,70229,03/12/2007,03/12/2012,"9,575"
0,,,,,
0,,,,,
7408547,INDIVIDUAL INTERIOR SOLUTIONS LTD,96090,15/10/2010,15/10/2012,"2,196"
